Activity Area,Grid,Northing,Easting
Brewery Hill,Grid 1,0,0
Brewery Hill,Grid 1,10,0
Brewery Hill,Grid 1,20,0
Brewery Hill,Grid 1,30,0
Brewery Hill,Grid 1,40,0
Brewery Hill,Grid 1,50,0
Brewery Hill,Grid 1,60,0
Brewery Hill,Grid 1,70,0
Brewery Hill,Grid 1,80,0
Brewery Hill,Grid 1,90,0
Brewery Hill,Grid 1,100,0
Brewery Hill,Grid 1,110,0
Brewery Hill,Grid 1,120,0
Brewery Hill,Grid 1,130,0
Brewery Hill,Grid 1,140,0
Brewery Hill,Grid 1,150,0
Brewery Hill,Grid 2,0,0
Brewery Hill,Grid 2,10,0
Brewery Hill,Grid 2,20,0
Brewery Hill,Grid 2,30,0
Brewery Hill,Grid 2,40,0
Brewery Hill,Grid 2,50,0
Brewery Hill,Grid 2,60,0
Brewery Hill,Grid 2,70,0
Brewery Hill,Grid 2,80,0
Brewery Hill,Grid 2,90,0
Brewery Hill,Grid 2,100,0
Brewery Hill,Grid 2,110,0
Brewery Hill,Grid 3,0,0
Brewery Hill,Grid 3,0,10
Brewery Hill,Grid 3,10,0
Brewery Hill,Grid 3,20,0
Brewery Hill,Grid 3,30,0
Brewery Hill,Grid 3,40,0
Brewery Hill,Grid 3,50,0
Brewery Hill,Grid 3,60,0
Brewery Hill,Grid 4,0,0
Brewery Hill,Grid 4,10,0
Brewery Hill,Grid 4,20,0
Brewery Hill,Grid 4,30,0
Brewery Hill,Grid 4,40,0
Brewery Hill,Grid 4,50,0
Brewery Hill,Grid 4,60,0
Brewery Hill,Grid 4,70,-15
Brewery Hill,Grid 4,70,-10
Brewery Hill,Grid 4,70,0
Brewery Hill,Grid 4,70,5
Brewery Hill,Grid 4,70,10
Brewery Hill,Grid 4,70.4,-10
Brewery Hill,Grid 4,75,-10
Brewery Hill,Grid 4,75,5
Brewery Hill,Grid 4,80,-10
Brewery Hill,Grid 4,80,0
Brewery Hill,Grid 4,90,-10
Brewery Hill,Grid 4,90,0
Brewery Hill,Grid 4,100,-10
Brewery Hill,Grid 4,110,-10
Brewery Hill,Grid 4,120,-10
Brewery Hill,Grid 4,130,-10
Brewery Hill,Grid 4,65,5
Brewery Hill,Grid 4,65,0
Brewery Hill,Grid 4,0,-40
Brewery Hill,Grid 4,0,-50
Brewery Hill,Grid 4,70,-5
Brewery Hill,Grid 4,65,-5
Brewery Hill,Grid 4,0,-10
Brewery Hill,Grid 4,0,-20
Brewery Hill,Grid 4,65,-10
Brewery Hill,Grid 4,70,-14
Brewery Hill,Grid 4,10,-40
Brewery Hill,Grid 4,20,-40
Brewery Hill,Grid 4,30,-40
Brewery Hill,Grid 4,-10,-50
Cooney Property,Grid 1,0,0
Cooney Property,Grid 1,10,0
Cooney Property,Grid 1,20,0
Cooney Property,Grid 1,30,0
Cooney Property,Grid 1,40,0
Cooney Property,Grid 1,50,0
Cooney Property,Grid 1,60,0
